 RTP ALTURA GPSALT IGRF mag_res1 mag_res2 LAT LONG Line MAGIGRF X Y
24 -27.306595637821772 146.22 -82.47000000000003 22765.93 22.27217712522263 24.49675272546593 -27.806244 -49.138867 12170 -26.105 6922871.0 683336.0
25 -26.65375129542701 123.67 -78.09000000000003 22765.94200000001 18.02705188311702 20.15497557521848 -27.807375 -49.138833 12170 -30.401999999999997 6922746.0 683337.0
26 -26.197967268796152 123.18 -73.40999999999997 22765.952999999998 14.891701287296893 16.922801005653724 -27.808503 -49.138814 12170 -33.59 6922621.0 683337.0
27 -25.755196203372712 103.22 -69.84000000000003 22765.965 11.133154849957831 13.068377251962808 -27.809625 -49.138789 12170 -37.4 6922497.0 683338.0
28 -25.469525538446334 124.56 -67.42999999999995 22765.976000000002 7.71538305890425 9.554556078954539 -27.810739 -49.138771999999996 12170 -40.87 6922373.0 683338.0
29 -25.78780689141225 170.85 -63.84000000000003 22765.987 5.10296471890269 6.846690883185402 -27.81185 -49.138756 12170 -43.535 6922250.0 683337.0
30 -26.89773676571993 178.75 -60.110000000000014 22765.998 2.119546378901127 3.7678256874163125 -27.812964 -49.13875 12170 -46.57100000000001 6922127.0 683336.0
31 -28.18959926838462 186.07 -58.32000000000005 22766.007999999998 -1.2524507658669748 0.2996070950906997 -27.814080999999998 -49.138744 12170 -49.996 6922003.0 683335.0
32 -28.58406767658199 172.21 -59.34000000000003 22766.019 -2.5676732643495943 -1.1120089165522629 -27.815194 -49.138739 12170 -51.365 6921879.0 683333.0
33 -27.985069556071778 165.48 -61.33000000000004 22766.029 -3.296866250636633 -1.9364766930040533 -27.81630800000001 -49.138731 12170 -52.146 6921756.0 683333.0
34 -27.22895002848856 137.02 -64.49000000000001 22766.04 -4.972284590638188 -3.707341888773129 -27.817419 -49.138719 12170 -53.873999999999995 6921633.0 683332.0
35 -27.68784771998328 95.52 -68.45000000000005 22766.052000000003 -10.962477576925238 -9.792809665224873 -27.818531 -49.138697 12170 -59.916000000000004 6921510.0 683332.0
36 -29.578919288555177 92.8 -70.89999999999998 22766.063 -14.663670563212161 -13.589277441676655 -27.819639000000002 -49.138672 12170 -63.669 6921387.0 683332.0
37 -32.01383934000107 149.95 -69.17999999999995 22766.075 -19.06863819578468 -18.089347798811048 -27.820746999999997 -49.138647 12170 -68.125 6921264.0 683333.0
38 -33.60277747983251 184.77 -64.29999999999995 22766.087000000003 -19.886184633123747 -19.00277155250197 -27.821861 -49.138616999999996 12170 -68.994 6921140.0 683334.0
39 -33.51076761766419 195.66 -55.60000000000002 22766.099 -22.194731070462808 -21.407195306192893 -27.822986 -49.138594 12170 -71.354 6921016.0 683335.0
40 -31.926811960576657 173.39 -45.110000000000014 22766.11 -28.4546604710496 -27.764723272314228 -27.824116999999998 -49.138571999999996 12170 -77.667 6920890.0 683335.0
41 -30.027847821877295 150.83 -35.460000000000036 22766.12200000001 -38.099589871636255 -37.5072512384355 -27.825256 -49.138556 12170 -87.365 6920764.0 683335.0
42 -29.216283206179646 145.37 -25.700000000000045 22766.134 -47.25009807698947 -46.75613260111332 -27.8264 -49.138536 12170 -96.569 6920637.0 683335.0
43 -30.597218678758672 137.08 -16.17999999999995 22766.146 -52.393606282342795 -51.9980139637912 -27.827546999999996 -49.138517 12170 -101.766 6920510.0 683335.0
44 -35.736965690088724 121.58 -11.539999999999964 22766.15700000001 -55.280339841410544 -54.98329274578637 -27.828691999999997 -49.1385 12170 -104.70700000000001 6920383.0 683334.0
45 -45.460324713064736 124.64 -11.549999999999955 22766.168999999998 -56.56126924199731 -56.36182071190762 -27.829831 -49.138481 12170 -106.041 6920257.0 683334.0
46 -57.78019648814504 156.07 -8.559999999999945 22766.181 -56.63161983781744 -56.528995281472426 -27.830961 -49.138461 12170 -106.164 6920132.0 683334.0
47 -68.50677432113183 187.55 -2.6000000000000227 22766.19200000001 -54.39174507992304 -54.38577243171989 -27.832083 -49.138436 12170 -103.976 6920007.0 683335.0
65 315.9245750225634 96.19 -8.450000000000045 22766.415 -70.72528317254034 -72.4347747235742 -27.852117 -49.137853 12170 -121.226 6917787.0 683359.0
66 282.3348012340525 125.27 -18.41999999999996 22766.429 -75.46925952490315 -77.27023923653053 -27.853185999999997 -49.137786 12170 -126.01700000000001 6917668.0 683363.0
67 233.2334744421952 121.42 -27.389999999999986 22766.44200000001 -75.67365707249925 -77.56535035293022 -27.854253000000003 -49.137731 12170 -126.26799999999999 6917550.0 683367.0
68 190.9231366218519 90.87 -36.460000000000036 22766.455 -72.82627997380992 -74.80885888864738 -27.855314 -49.137689 12170 -123.46799999999999 6917432.0 683370.0
69 164.94496852370276 92.38 -44.65999999999997 22766.467 -71.37677477778308 -73.4498088664427 -27.856371999999997 -49.137656 12170 -122.06700000000001 6917315.0 683371.0
70 150.61799386197214 104.86 -48.789999999999964 22766.479 -70.04284838652279 -72.20711224079453 -27.857436 -49.137625 12170 -120.78200000000001 6917197.0 683372.0
71 138.63441847231482 154.56 -49.32000000000005 22766.491 -69.28550080002901 -71.54176901170283 -27.858508 -49.137597 12170 -120.074 6917078.0 683373.0
72 123.83717546446933 209.82 -45.27999999999997 22766.502999999997 -68.02173201830179 -70.37077917916767 -27.859594 -49.137572 12170 -118.86 6916958.0 683374.0
73 106.28653563050173 255.97 -37.24000000000001 22766.514 -67.0625715535368 -69.50629097838026 -27.860697 -49.137558 12170 -117.95299999999999 6916836.0 683373.0
74 89.93979106433548 262.07 -27.809999999999945 22766.525 -66.04137285678597 -68.58226038657978 -27.861825 -49.137567 12170 -116.986 6916711.0 683371.0
75 78.53863381158898 231.66 -21.450000000000045 22766.534 -64.92445853814093 -67.56492368447901 -27.862971999999996 -49.137614 12170 -115.928 6916584.0 683364.0
76 69.32642093673753 189.22 -16.539999999999964 22766.542 -63.33170182902885 -66.07329377549132 -27.864136 -49.137664 12170 -114.395 6916455.0 683357.0
77 52.90194182539374 148.47 -13.480000000000018 22766.551 -62.60252392468344 -65.44601726306013 -27.865311 -49.137714 12170 -113.726 6916325.0 683350.0
