 RTP ALTURA GPSALT LAT LONG Line mag_res2 mag_res1 MAGIGRF X Y
53 119.25427290585478 135.4 -78.87 -16.138984 -51.240402 22710 114.54541938980545 135.66391798600384 263.575 8215669.91 474296.71
54 108.306774694236 136.0 -72.30000000000003 -16.137747 -51.240349 22710 145.00360179584862 165.8622122509517 291.876 8215806.65 474302.2
55 80.45837720210585 128.53 -65.57 -16.136509 -51.240302 22710 174.3199569603524 194.92543817615467 319.028 8215943.7 474307.09
56 43.759565960962014 121.37 -60.38 -16.135272 -51.240274 22710 196.81096704748788 217.18872876702235 339.352 8216080.43 474309.9
57 10.047766755099822 117.77 -55.31 -16.134036 -51.240277 22710 204.4963219402953 224.68558320998704 344.858 8216217.17 474309.44
58 -12.830952189408686 111.07 -49.45999999999998 -16.132803 -51.24031 22710 181.6847289884037 201.72505711022407 319.86 8216353.59 474305.72
59 -25.169966883533768 107.9 -45.19 -16.131575 -51.240371 22710 185.89552641145835 205.82354074572885 321.883 8216489.4 474299.02
60 -33.9857654492393 108.14 -42.410000000000025 -16.13035 -51.240458 22710 170.48614010878111 190.33420919869184 304.281 8216624.89 474289.66
61 -44.5863647547422 112.75 -41.079999999999984 -16.129134 -51.240552 22710 158.76945624941118 178.54968361516086 290.383 8216759.46 474279.4
62 -54.16794847668257 123.08 -44.18000000000001 -16.127925 -51.240635 22710 158.64364924977008 178.34294275582158 288.095 8216893.11 474270.34
63 -56.882219534535075 127.07 -47.13 -16.126728 -51.24070800000001 22710 142.89901601587562 162.50494915337185 270.212 8217025.54 474262.46
64 -53.90495070223386 119.85 -48.36000000000002 -16.125539 -51.240752 22710 128.83050453859852 148.3087630225325 254.031 8217157.04 474257.55
65 -55.66099128915465 115.82 -47.25 -16.124356 -51.240766 22710 119.43005574429623 138.7421518850329 242.54 8217287.93 474255.92
66 -74.06685714176552 107.66 -41.45999999999998 -16.123178 -51.240749 22710 110.91490341645829 130.02257529405375 231.956 8217418.22 474257.55
67 -111.30524402445229 102.6 -36.839999999999975 -16.121995000000002 -51.240719 22710 126.36895041623418 145.25357556731984 245.337 8217549.12 474260.66
68 -149.73324515166607 99.19 -34.08999999999997 -16.120805999999998 -51.240688 22710 132.65671191678715 151.3174248163231 249.542 8217680.63 474263.77
69 -287.18848574118726 111.25 -24.5 -16.120025 -51.235705 22720 145.47027238282126 157.61558042191245 262.956 8217767.59 474796.53
70 -241.2129926094022 103.78 -19.870000000000005 -16.121178 -51.235713 22720 146.93925880732553 159.27450259499506 266.453 8217640.07 474795.78
71 -173.20084072129816 106.98 -17.300000000000008 -16.122328 -51.235724 22720 155.3382627850978 167.86648186443614 276.874 8217512.86 474794.74
72 -119.91472606845308 101.04 -17.95999999999998 -16.123480999999998 -51.235741 22720 171.3596877558552 184.08838657438446 294.92 8217385.35 474793.11
73 -96.10326111117611 97.54 -19.670000000000016 -16.124631 -51.235758 22720 178.4547683605381 191.3836554184527 304.035 8217258.13 474791.47
74 -89.6943196624429 98.29 -22.69 -16.125778 -51.235774 22720 191.79994509678582 204.92856634816144 319.395 8217131.23 474789.83
