ALTURA GPSALT LAT LONG Line MAGIGRF X Y
111.19 580.15 -16.099659 -51.277807 22630 -154.161 8220014.87 470291.53
111.25 584.7 -16.098487 -51.277799 22630 -159.837 8220144.54 470292.24
100.88 584.33 -16.09732 -51.277796 22630 -149.25 8220273.59 470292.37
108.72 575.77 -16.096148 -51.277788 22630 -56.037 8220403.26 470293.08
117.16 564.2 -16.094967 -51.277782 22630 0.88 8220533.85 470293.5
119.88 553.2 -16.093773 -51.27778 22630 21.7 8220665.97 470293.62
124.42 542.86 -16.092564 -51.277777 22630 25.874 8220799.63 470293.74
123.75 532.49 -16.091345 -51.27778 22630 21.119 8220934.52 470293.26
118.69 523.41 -16.090117 -51.277785 22630 22.448 8221070.34 470292.48
111.47 515.78 -16.088881 -51.277796 22630 38.121 8221207.07 470291.11
111.01 508.89 -16.087639 -51.277805 22630 47.498 8221344.42 470290.04
106.62 503.15 -16.086392 -51.277816 22630 24.683 8221482.38 470288.66
105.28 499.79 -16.085145 -51.277832 22630 -13.047 8221620.34 470286.69
108.78 498.45 -16.083901 -51.277852 22630 -27.242 8221757.99 470284.43
111.56 496.65 -16.082659 -51.277871 22630 -33.701 8221895.34 470282.16
106.13 494.49 -16.081417 -51.277877 22630 -69.087 8222032.68 470281.39
105.34 492.86 -16.080184 -51.277863 22630 -62.689 8222169.11 470282.69
99.67 501.9 -16.080842 -51.272949 22640 -17.18 8222096.99 470808.32
98.45 503.76 -16.081867 -51.272949 22640 0.938 8221983.61 470808.47
100.58 507.41 -16.082887 -51.272963 22640 17.429 8221870.84 470807.13
102.11 510.81 -16.083903 -51.272991 22640 -4.436 8221758.38 470804.31
100.73 512.17 -16.084914 -51.27303 22640 8.341 8221646.53 470800.3
97.84 512.71 -16.085928 -51.273069 22640 -3.074 8221534.37 470796.29
97.23 513.28 -16.086942 -51.273096 22640 -26.638 8221422.21 470793.47
100.58 515.75 -16.087953 -51.273121 22640 -30.633 8221310.36 470790.94
103.02 519.63 -16.088962 -51.273141 22640 -50.917 8221198.82 470789.01
106.68 522.58 -16.08997 -51.273152 22640 -73.354 8221087.28 470787.97
110.95 523.23 -16.090978 -51.273155 22640 -92.77 8220975.74 470787.82
114.3 522.24 -16.091989 -51.273146 22640 -81.301 8220863.9 470788.86
107.14 519.51 -16.093009 -51.27311 22640 -83.374 8220751.14 470792.87
101.5 516.27 -16.094037 -51.273055 22640 -94.047 8220637.46 470798.96
96.01 515.53 -16.09507 -51.272988 22640 -89.335 8220523.16 470806.24
85.95 516.53 -16.096106 -51.272924 22640 -97.313 8220408.56 470813.23
91.6 513.9 -16.097153 -51.272874 22640 -128.697 8220292.73 470818.73
95.1 507.81 -16.098209 -51.272843 22640 -111.827 8220175.97 470822.15
93.11 499.95 -16.099284 -51.27283 22640 -106.76 8220057.06 470823.79
87.78 492.23 -16.10037 -51.272838 22640 -111.255 8219936.92 470823.06
86.87 489.58 -16.101473 -51.272871 22640 -79.96 8219814.93 470819.66
91.14 490.7 -16.102578 -51.272924 22640 -70.379 8219692.63 470814.17
95.4 493.3 -16.103681 -51.272993 22640 -26.644 8219570.63 470806.91
92.35 494.58 -16.104784 -51.273074 22640 36.57 8219448.64 470798.46
87.78 494.79 -16.105892 -51.273146 22640 72.307 8219326.03 470790.9
92.66 496.39 -16.106998 -51.27321 22640 96.514 8219203.72 470784.23
91.44 499.34 -16.108103 -51.27326 22640 117.056 8219081.42 470779.04
94.18 503.15 -16.109206 -51.273299 22640 75.55 8218959.43 470775.04
102.41 508.95 -16.1103 -51.27331 22640 49.399 8218838.37 470774.02
114.6 516.3 -16.111387 -51.273296 22640 34.481 8218718.23 470775.66
132.28 526.09 -16.112456 -51.273263 22640 53.222 8218599.94 470779.38
138.68 535.73 -16.113517 -51.273221 22640 67.304 8218482.56 470783.99
143.71 545.3 -16.114559 -51.273171 22640 70.022 8218367.35 470789.49
149.05 555.08 -16.115595 -51.273124 22640 73.915 8218252.74 470794.69
155.6 563.5 -16.11662 -51.27308 22640 83.958 8218139.37 470799.6
164.53 570.7 -16.117639 -51.273038 22640 95.9 8218026.6 470804.2
173.66 579.02 -16.118648 -51.27303 22640 105.882 8217915.07 470805.24
186.68 589.35 -16.119648 -51.273052 22640 110.927 8217804.45 470803.01
189.73 601.25 -16.120634 -51.273102 22640 110.555 8217695.36 470797.81
196.8 612.69 -16.121609 -51.273168 22640 107.771 8217587.5 470790.82
204.8 622.09 -16.122573 -51.27323 22640 107.065 8217480.87 470784.43
