ALTURA GPSALT LAT LONG Line mag_res2 mag_res1 MAGIGRF X Y
151.33 -125.08000000000004 -16.1503 -51.23648 22720 130.09237679815507 147.93764991500709 300.618 8214418.58 474717.51
154.53 -131.55999999999995 -16.151332999999997 -51.236502 22720 121.7054868602853 139.7399348504983 294.043 8214304.28 474715.26
156.66 -138.64 -16.152356 -51.236494 22720 108.14680310775202 126.32934170657364 282.289 8214191.2 474716.29
157.89 -145.20000000000005 -16.153378 -51.236463 22720 93.99148414398766 112.2937840446063 269.947 8214078.13 474719.68
164.53 -150.83000000000004 -16.154392 -51.236402000000005 22720 80.53579026103122 98.91729865712333 258.302 8213965.99 474726.34
168.57 -156.48000000000002 -16.155403 -51.23633 22720 62.7004395040567 81.14645318932051 242.27700000000002 8213854.15 474734.19
171.61 -162.83000000000004 -16.156406 -51.236246 22720 41.40946488207169 59.904386747293785 222.78599999999997 8213743.24 474743.23
176.63 -169.58000000000004 -16.157405999999998 -51.236149 22720 27.014752710243073 45.540400149043364 210.192 8213632.63 474753.75
185.69 -177.16999999999996 -16.158406 -51.236044 22720 23.170883235693395 41.71656390027633 208.15200000000002 8213522.03 474765.16
190.72 -182.62 -16.159403 -51.235927000000004 22720 20.773356887125374 39.32436757118671 207.558 8213411.73 474777.76
196.74 -186.40999999999997 -16.160403 -51.235813 22720 8.990133591033185 27.55037936270645 197.582 8213301.13 474790.07
204.87 -192.53999999999996 -16.161397 -51.235713 22720 -13.62578550172097 4.9608267294772475 176.75799999999998 8213191.14 474800.88
212.87 -202.36 -16.162389 -51.235638 22720 -35.74101456527808 -17.096547045342163 156.42 8213081.45 474809.03
222.99 -212.70000000000005 -16.163378 -51.235582 22720 -54.67451843251246 -35.947559804402175 139.251 8212972.07 474815.09
230.99 -222.14999999999998 -16.164364000000003 -51.235546 22720 -72.04837163279112 -53.21452603569557 123.62899999999999 8212863.0 474819.08
235.09 -230.79999999999995 -16.165344 -51.235532 22720 -84.30980059167982 -65.34136428520259 113.101 8212754.53 474820.69
220.94 -239.64 -16.166322 -51.235549 22720 -89.91610712157642 -70.77428672734443 109.211 8212646.37 474819.03
184.7 -248.95000000000005 -16.167294000000002 -51.235594 22720 -95.18363153964064 -75.83365872672361 105.639 8212538.82 474814.4
165.53 -258.53 -16.168257999999998 -51.235665999999995 22720 -103.69643696842967 -84.1039832628838 98.796 8212432.19 474806.8
153.92 -268.14 -16.169219000000002 -51.235763 22720 -114.39351510335297 -94.52697169665294 89.75399999999999 8212325.86 474796.53
142.19 -276.17999999999995 -16.170172 -51.23588 22720 -122.41603155173694 -102.2517623177324 83.36399999999999 8212220.46 474784.18
127.41 -282.71000000000004 -16.171125 -51.236013 22720 -133.11307414054124 -112.62970857257886 74.293 8212115.05 474770.05
128.17 -288.26 -16.172081 -51.236146000000005 22720 -153.07405360678814 -132.2711518478807 55.963 8212009.33 474755.92
143.87 -292.65 -16.173039000000003 -51.236259999999994 22720 -159.21152448589763 -138.11349658578845 51.468999999999994 8211903.31 474743.86
170.55 -295.41999999999996 -16.174006 -51.23636 22720 -159.98723644577242 -138.61077391939176 52.357 8211796.37 474733.3
190.72 -294.72 -16.174981 -51.236446 22720 -160.33127421118297 -138.69281442589585 53.696999999999996 8211688.5 474724.22
200.83 -291.55999999999995 -16.175975 -51.236513 22720 -156.23714341059417 -134.35860563140426 59.516999999999996 8211578.49 474717.22
200.83 -287.53 -16.176981 -51.23656 22720 -148.36619266578634 -126.27080153972439 69.141 8211467.26 474712.3
153.46 -281.76 -16.178008 -51.236577000000004 22720 -143.210725973321 -120.93409008947233 76.101 8211353.56 474710.64
134.11 -273.53999999999996 -16.179053 -51.236574 22720 -141.52222836676654 -119.08694680574828 79.631 8211238.03 474711.08
146.6 -264.19000000000005 -16.180119 -51.236546000000004 22720 -130.26981967744345 -107.70431645849163 92.774 8211120.04 474714.18
170.62 -256.24 -16.181206 -51.236499 22720 -109.55327968680469 -86.87959405423702 115.42299999999999 8210999.91 474719.37
184.7 -252.04999999999995 -16.182311 -51.236438 22720 -94.30365375737867 -71.53647783954656 132.645 8210877.62 474726.04
190.72 -248.89999999999998 -16.183431 -51.236363 22720 -91.22494614484148 -68.3799859523194 137.726 8210753.8 474734.2
170.55 -246.75 -16.184558 -51.23628 22720 -106.5332064673826 -83.61983477700394 124.43799999999999 8210629.06 474743.25
146.61 -245.52999999999997 -16.185692 -51.236194 22720 -157.0492992312101 -134.07024989732557 75.953 8210503.71 474752.6
151.64 -251.23000000000002 -16.186822 -51.236105 22720 -201.21073231221214 -178.17003038226608 33.819 8210378.66 474762.25
168.57 -259.46000000000004 -16.187947 -51.236016 22720 -205.68041362775338 -182.57880464747075 31.366999999999997 8210254.22 474771.89
190.72 -269.92999999999995 -16.189064000000002 -51.235932 22720 -179.22908569460245 -156.06081045547825 59.818999999999996 8210130.71 474780.94
196.8 -281.46000000000004 -16.190169 -51.235865999999994 22720 -142.37653639208708 -119.12198381541499 98.646 8210008.43 474788.21
169.62 -292.76 -16.191254999999998 -51.23581 22720 -108.42443494771618 -85.0722439480407 134.534 8209888.29 474794.28
151.79 -303.03 -16.192332999999998 -51.235771 22720 -92.7509270219991 -69.28118083187431 152.122 8209769.08 474798.58
119.94 -312.76 -16.193397 -51.235755 22720 -121.24230621198834 -97.62848649373132 125.512 8209651.39 474800.49
112.17 -323.03 -16.194453 -51.235755 22720 -188.32627892061663 -164.54846890678445 60.288000000000004 8209534.63 474800.63
105.92 -332.12 -16.195503 -51.235771 22720 -226.9378667500815 -202.97545566868163 23.52 8209418.48 474798.98
110.34 -337.0 -16.196555 -51.235802 22720 -239.02187628384021 -214.85666733955486 13.279000000000002 8209302.02 474795.85
117.5 -337.61 -16.197617 -51.235844 22720 -236.24810269846617 -211.86451297101985 17.906 8209184.64 474791.53
137.46 -334.58000000000004 -16.198689 -51.235896000000004 22720 -201.0275201361 -176.4096468275397 54.995 8209066.03 474786.03
