 ALTURA GPSALT LAT LONG Line mag_res2 mag_res1 MAGIGRF X Y
33 177.82 -289.45000000000005 -16.201332999999998 -51.277904 22630 -162.610956450543 -83.70292787133681 81.429 8208767.88 470296.33
34 179.01 -297.46000000000004 -16.200278 -51.27791 22630 -197.62571059621288 -118.87435357448715 44.552 8208884.64 470295.58
35 180.67 -304.98 -16.199222 -51.277924 22630 -260.4611481850242 -181.85578456192013 -20.149 8209001.4 470293.94
36 180.67 -311.70000000000005 -16.198172 -51.27794 22630 -288.2331823341331 -209.76934720521962 -49.778 8209117.55 470292.0
37 171.54 -318.34000000000003 -16.197125 -51.277954 22630 -283.1172713011939 -204.7981241888734 -46.513000000000005 8209233.39 470290.36
38 157.58 -324.73 -16.196082999999998 -51.277954 22630 -279.5857491963181 -201.4281673249463 -44.817 8209348.61 470290.2
39 156.94 -331.27 -16.19505 -51.277952 22630 -264.2128371560933 -186.21912871196818 -31.264 8209462.92 470290.34
40 152.03 -338.32000000000005 -16.194019 -51.27794 22630 -265.78517855015446 -187.96558183514816 -34.648 8209576.92 470291.37
41 139.27 -345.77 -16.192997000000002 -51.277915 22630 -289.09972376031226 -211.4708103100396 -59.754 8209690.0 470293.89
42 127.47 -352.33000000000004 -16.191975 -51.277885 22630 -296.6855048514884 -219.25447342473078 -69.12899999999999 8209803.08 470297.01
43 128.81 -358.71000000000004 -16.190956 -51.277848999999996 22630 -296.67338417177297 -219.44675371169888 -70.899 8209915.85 470300.71
44 129.67 -365.15 -16.189939000000003 -51.277813 22630 -283.972078380061 -206.9495431979311 -59.975 8210028.32 470304.42
45 125.55 -369.78 -16.188922 -51.277788 22630 -249.5794973451187 -172.7467657137478 -27.364 8210140.78 470306.94
46 131.8 -371.70000000000005 -16.1879 -51.277777 22630 -200.9295273820982 -124.26972207713266 19.489 8210253.86 470307.98
47 141.55 -370.01 -16.186869 -51.277774 22630 -169.82155221931578 -93.32518048460896 48.782 8210367.86 470308.12
48 153.93 -364.39 -16.185825 -51.277782 22630 -135.5587766801686 -59.21373188453647 81.20100000000001 8210483.39 470307.07
49 172.2 -354.97 -16.184760999999998 -51.277796 22630 -89.09156289074521 -12.89381687576234 125.788 8210601.07 470305.43
50 183.91 -342.99 -16.183675 -51.277809999999995 22630 -71.80913532528405 4.237941410335395 141.151 8210721.21 470303.78
51 188.73 -329.65999999999997 -16.182564000000003 -51.277827 22630 -68.10447643048698 7.79160007014238 142.891 8210844.12 470301.83
52 185.49 -316.03999999999996 -16.181431 -51.277848999999996 22630 -58.84360166209382 16.905077093921108 150.14600000000002 8210969.48 470299.29
53 176.24 -306.9 -16.180278 -51.277852 22630 -70.47004179519445 5.103338688432444 136.487 8211097.0 470298.82
54 165.72 -308.37 -16.17912 -51.277846000000004 22630 -133.07008398434647 -57.683545457007156 71.848 8211225.13 470299.24
55 156.42 -315.36 -16.177972 -51.277834999999996 22630 -199.23891304551046 -124.04455001491306 3.662 8211352.03 470300.25
56 150.02 -325.21000000000004 -16.176835999999998 -51.277829 22630 -277.2680097566075 -202.2571323725174 -76.367 8211477.71 470300.68
57 122.32 -333.76 -16.175714000000003 -51.277821 22630 -417.218712276665 -342.3926148431571 -218.292 8211601.85 470301.4
58 92.78 -340.03999999999996 -16.1746 -51.277799 22630 -374.1367778669262 -299.51201773068084 -177.16400000000002 8211725.06 470303.61
59 113.54 -340.61 -16.173482999999997 -51.277768 22630 -54.932063882466565 19.480226751734207 140.085 8211848.59 470306.71
60 151.24 -335.74 -16.172364 -51.277735 22630 115.04550630361044 189.24140817870153 308.103 8211972.43 470310.1
61 179.68 -333.19000000000005 -16.171231 -51.27771 22630 98.02872166087417 172.01662204933558 289.099 8212097.8 470312.61
62 193.16 -335.69000000000005 -16.170097 -51.277696 22630 17.253249526066696 91.0475601343956 206.332 8212223.16 470313.92
63 199.98 -340.63 -16.16897 -51.277696 22630 -27.097421936354607 46.52192135521135 159.994 8212347.91 470313.75
64 204.47 -346.14 -16.167847000000002 -51.277704 22630 -44.12252860740796 29.333271071982153 140.988 8212472.05 470312.7
65 217.96 -353.65999999999997 -16.166732999999997 -51.27771 22630 -56.02733006783774 17.262871960638677 127.118 8212595.27 470311.93
66 226.62 -361.09000000000003 -16.165625 -51.277702000000005 22630 -78.49659498569825 -5.389107791116601 102.699 8212717.87 470312.66
67 221.93 -366.99 -16.164522 -51.277685 22630 -111.6028909611947 -38.68793123432826 67.656 8212839.86 470314.28
68 208.44 -371.70000000000005 -16.163422 -51.27766 22630 -148.4314031063084 -75.71908916971488 28.899 8212961.54 470316.78
69 188.07 -376.02 -16.162325 -51.277627 22630 -179.70320595039195 -107.20389608525733 -4.293 8213082.91 470320.18
70 155.88 -380.01 -16.161228 -51.277607 22630 -199.88233436718963 -127.57828582411972 -26.398000000000003 8213204.29 470322.1
71 132.19 -384.25 -16.160135999999998 -51.277609999999996 22630 -206.39862679828897 -134.26039059787468 -34.839 8213325.04 470321.64
72 120.46 -389.28 -16.159045000000003 -51.277632000000004 22630 -180.56100892108392 -108.563643555148 -10.934000000000001 8213445.8 470319.1
73 111.86 -395.96000000000004 -16.157964 -51.277677000000004 22630 -156.25430682364203 -84.36761776704795 11.450999999999999 8213565.32 470314.19
74 111.86 -403.28999999999996 -16.156892000000003 -51.277738 22630 -152.85458572607808 -81.05579129976537 12.937000000000001 8213683.92 470307.49
75 109.82 -409.4 -16.155822 -51.277807 22630 -162.99452221379664 -91.27262438123128 0.885 8213802.21 470299.91
76 105.22 -414.42999999999995 -16.154760999999997 -51.277877000000004 22630 -159.85226933385783 -88.20594852407872 2.13 8213919.57 470292.33
77 106.44 -418.61 -16.153697 -51.277935 22630 -152.14831755503772 -80.59218537290315 7.936 8214037.25 470285.93
